location,year,metrics,val,type,cause
Indonesia,2000,Percent,0.266395017,country,Environmental/occupational risks
Indonesia,2001,Number,382947.82,country,Environmental/occupational risks
Indonesia,2001,Percent,0.263775372,country,Environmental/occupational risks
Indonesia,2002,Number,385827.7821,country,Environmental/occupational risks
Indonesia,2002,Percent,0.262245791,country,Environmental/occupational risks
Indonesia,2003,Number,388490.3724,country,Environmental/occupational risks
Indonesia,2003,Percent,0.260557198,country,Environmental/occupational risks
Indonesia,2004,Number,430997.2732,country,Environmental/occupational risks
Indonesia,2004,Percent,0.257446496,country,Environmental/occupational risks
Indonesia,2005,Number,393026.612,country,Environmental/occupational risks
Indonesia,2005,Percent,0.257770851,country,Environmental/occupational risks
Indonesia,2006,Number,394352.1547,country,Environmental/occupational risks
Indonesia,2006,Percent,0.2547357,country,Environmental/occupational risks
Indonesia,2007,Number,393931.8443,country,Environmental/occupational risks
Indonesia,2007,Percent,0.252828821,country,Environmental/occupational risks
Indonesia,2008,Number,393276.2536,country,Environmental/occupational risks
Indonesia,2008,Percent,0.249745612,country,Environmental/occupational risks
Indonesia,2009,Number,391721.9209,country,Environmental/occupational risks
Indonesia,2009,Percent,0.245879539,country,Environmental/occupational risks
Indonesia,2010,Number,387888.0743,country,Environmental/occupational risks
Indonesia,2010,Percent,0.241534555,country,Environmental/occupational risks
Indonesia,2011,Number,381873.3483,country,Environmental/occupational risks
Indonesia,2011,Percent,0.236960614,country,Environmental/occupational risks
Indonesia,2012,Number,374165.9968,country,Environmental/occupational risks
Indonesia,2012,Percent,0.230846952,country,Environmental/occupational risks
Indonesia,2013,Number,365328.5328,country,Environmental/occupational risks
Indonesia,2013,Percent,0.223450698,country,Environmental/occupational risks
Indonesia,2014,Number,357341.884,country,Environmental/occupational risks
Indonesia,2014,Percent,0.21687087,country,Environmental/occupational risks
Indonesia,2015,Number,353841.353,country,Environmental/occupational risks
Indonesia,2015,Percent,0.211960385,country,Environmental/occupational risks
Indonesia,2016,Number,350152.0129,country,Environmental/occupational risks
Indonesia,2016,Percent,0.207293737,country,Environmental/occupational risks
Indonesia,2017,Number,347978.9768,country,Environmental/occupational risks
Indonesia,2017,Percent,0.202941325,country,Environmental/occupational risks
Indonesia,2018,Number,349283.5746,country,Environmental/occupational risks
Indonesia,2018,Percent,0.199982099,country,Environmental/occupational risks
Indonesia,2019,Number,349052.9331,country,Environmental/occupational risks
Indonesia,2019,Percent,0.196908806,country,Environmental/occupational risks
Indonesia,2020,Number,341430.9318,country,Environmental/occupational risks
Indonesia,2020,Percent,0.176134239,country,Environmental/occupational risks
Indonesia,2021,Number,357608.0716,country,Environmental/occupational risks
Indonesia,2021,Percent,0.163367734,country,Environmental/occupational risks
Islamic Republic of Iran,1990,Number,60937.22056,country,Environmental/occupational risks
Islamic Republic of Iran,1990,Percent,0.183166243,country,Environmental/occupational risks
Islamic Republic of Iran,1991,Number,56856.50797,country,Environmental/occupational risks
Islamic Republic of Iran,1991,Percent,0.198720911,country,Environmental/occupational risks
Islamic Republic of Iran,1992,Number,56713.81085,country,Environmental/occupational risks
Islamic Republic of Iran,1992,Percent,0.201684673,country,Environmental/occupational risks
Islamic Republic of Iran,1993,Number,56232.29188,country,Environmental/occupational risks
Islamic Republic of Iran,1993,Percent,0.202814388,country,Environmental/occupational risks
Islamic Republic of Iran,1994,Number,56183.80573,country,Environmental/occupational risks
Islamic Republic of Iran,1994,Percent,0.206897844,country,Environmental/occupational risks
Islamic Republic of Iran,1995,Number,56573.42086,country,Environmental/occupational risks
Islamic Republic of Iran,1995,Percent,0.211054332,country,Environmental/occupational risks
Islamic Republic of Iran,1996,Number,57112.03976,country,Environmental/occupational risks
Islamic Republic of Iran,1996,Percent,0.214082216,country,Environmental/occupational risks
Islamic Republic of Iran,1997,Number,58014.19939,country,Environmental/occupational risks
Islamic Republic of Iran,1997,Percent,0.214728278,country,Environmental/occupational risks
Islamic Republic of Iran,1998,Number,59241.69261,country,Environmental/occupational risks
Islamic Republic of Iran,1998,Percent,0.219925158,country,Environmental/occupational risks
Islamic Republic of Iran,1999,Number,60763.94837,country,Environmental/occupational risks
Islamic Republic of Iran,1999,Percent,0.223167046,country,Environmental/occupational risks
Islamic Republic of Iran,2000,Number,62439.57969,country,Environmental/occupational risks
Islamic Republic of Iran,2000,Percent,0.226619992,country,Environmental/occupational risks
Islamic Republic of Iran,2001,Number,63402.80022,country,Environmental/occupational risks
Islamic Republic of Iran,2001,Percent,0.225580854,country,Environmental/occupational risks
Islamic Republic of Iran,2002,Number,65241.17839,country,Environmental/occupational risks
Islamic Republic of Iran,2002,Percent,0.227651202,country,Environmental/occupational risks
Islamic Republic of Iran,2003,Number,71882.3276,country,Environmental/occupational risks
Islamic Republic of Iran,2003,Percent,0.225490102,country,Environmental/occupational risks
Islamic Republic of Iran,2004,Number,67520.9965,country,Environmental/occupational risks
Islamic Republic of Iran,2004,Percent,0.226686155,country,Environmental/occupational risks
Islamic Republic of Iran,2005,Number,68975.94804,country,Environmental/occupational risks
Islamic Republic of Iran,2005,Percent,0.227871256,country,Environmental/occupational risks
Islamic Republic of Iran,2006,Number,70847.04026,country,Environmental/occupational risks
Islamic Republic of Iran,2006,Percent,0.230036445,country,Environmental/occupational risks
Islamic Republic of Iran,2007,Number,72718.76218,country,Environmental/occupational risks
Islamic Republic of Iran,2007,Percent,0.23193403,country,Environmental/occupational risks
Islamic Republic of Iran,2008,Number,74166.97278,country,Environmental/occupational risks
Islamic Republic of Iran,2008,Percent,0.232380325,country,Environmental/occupational risks
Islamic Republic of Iran,2009,Number,76320.5761,country,Environmental/occupational risks
Islamic Republic of Iran,2009,Percent,0.234732781,country,Environmental/occupational risks
Islamic Republic of Iran,2010,Number,77207.85946,country,Environmental/occupational risks
Islamic Republic of Iran,2010,Percent,0.233936467,country,Environmental/occupational risks
Islamic Republic of Iran,2011,Number,79484.72426,country,Environmental/occupational risks
Islamic Republic of Iran,2011,Percent,0.238080235,country,Environmental/occupational risks
Islamic Republic of Iran,2012,Number,80562.59195,country,Environmental/occupational risks
Islamic Republic of Iran,2012,Percent,0.237150547,country,Environmental/occupational risks
Islamic Republic of Iran,2013,Number,83374.37887,country,Environmental/occupational risks
Islamic Republic of Iran,2013,Percent,0.239202959,country,Environmental/occupational risks
Islamic Republic of Iran,2014,Number,86709.43221,country,Environmental/occupational risks
Islamic Republic of Iran,2014,Percent,0.243922888,country,Environmental/occupational risks
Islamic Republic of Iran,2015,Number,89917.47867,country,Environmental/occupational risks
Islamic Republic of Iran,2015,Percent,0.247151053,country,Environmental/occupational risks
Islamic Republic of Iran,2016,Number,91305.77034,country,Environmental/occupational risks
Islamic Republic of Iran,2016,Percent,0.249202901,country,Environmental/occupational risks
Islamic Republic of Iran,2017,Number,92585.89548,country,Environmental/occupational risks
Islamic Republic of Iran,2017,Percent,0.249186239,country,Environmental/occupational risks
Islamic Republic of Iran,2018,Number,92691.99052,country,Environmental/occupational risks
Islamic Republic of Iran,2018,Percent,0.248055852,country,Environmental/occupational risks
Islamic Republic of Iran,2019,Number,94925.26698,country,Environmental/occupational risks
Islamic Republic of Iran,2019,Percent,0.249114816,country,Environmental/occupational risks
Islamic Republic of Iran,2020,Number,89610.66565,country,Environmental/occupational risks
Islamic Republic of Iran,2020,Percent,0.210311321,country,Environmental/occupational risks
Islamic Republic of Iran,2021,Number,90249.55365,country,Environmental/occupational risks
Islamic Republic of Iran,2021,Percent,0.158533279,country,Environmental/occupational risks
